Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
1415,Aaron Leya Iseka\Aaron-Leya-Iseka,be BEL,FW,Toulouse,fr Ligue 1,21,1997,8.6,20,2.32,13,0,1,1,4,1,1,0.12,0,0,0,0,1,0
1416,Stephan Lichtsteiner\Stephan-Lichtsteiner,ch SUI,DF,Augsburg,de Bundesliga,35,1984,14.9,18,1.21,12,5,0,0,1,0,2,0.13,2,0,0,0,0,0
1417,Dimitri Liénard\Dimitri-Lienard,fr FRA,MF,Strasbourg,fr Ligue 1,31,1988,16.5,65,3.93,38,20,3,2,1,1,10,0.60,6,3,1,0,0,0
1418,Philipp Lienhart\Philipp-Lienhart,at AUT,DF,Freiburg,de Bundesliga,23,1996,20.2,8,0.40,6,0,0,1,1,0,2,0.10,2,0,0,0,0,0
1419,Matthijs de Ligt\Matthijs-de-Ligt,nl NED,DF,Juventus,it Serie A,19,1999,27.2,9,0.33,8,0,0,0,1,0,2,0.07,1,0,0,0,1,0
1420,Isaac Lihadji\Isaac-Lihadji,fr FRA,DFMF,Marseille,fr Ligue 1,17,2002,0.3,1,3.60,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1421,Lillo\Lillo,es ESP,DF,Osasuna,es La Liga,30,1989,2.2,3,1.38,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1422,Anderson Lima\Anderson-Lima,it ITA,MF,Lazio,it Serie A,19,1999,0.7,6,8.71,2,1,2,1,0,0,1,1.45,1,0,0,0,0,0
1423,Lucas Lima\Lucas-Lima,br BRA,FWDF,Nantes,fr Ligue 1,27,1991,3.0,9,3.00,5,4,0,0,0,0,0,0.00,0,0,0,0,0,0
1424,Anthony Limbombe\Anthony-Limbombe,be BEL,FWMF,Nantes,fr Ligue 1,25,1994,1.7,3,1.79,0,2,0,1,0,0,0,0.00,0,0,0,0,0,0
1425,Victor Lindelöf\Victor-Lindelof,se SWE,DF,Manchester Utd,eng Premier League,25,1994,34.4,17,0.49,15,1,0,1,0,0,2,0.06,2,0,0,0,0,0
1426,Karol Linetty\Karol-Linetty,pl POL,MF,Sampdoria,it Serie A,24,1995,22.4,64,2.85,54,3,1,2,2,2,10,0.45,8,0,0,1,0,1
1427,Jesse Lingard\Jesse-Lingard,eng ENG,MFFW,Manchester Utd,eng Premier League,26,1992,10.4,40,3.85,33,0,2,1,2,2,4,0.39,3,0,0,0,0,1
1428,Pol Lirola\Pol-Lirola,es ESP,DF,Fiorentina,it Serie A,21,1997,29.4,68,2.31,57,2,6,3,0,0,5,0.17,4,0,1,0,0,0
1429,Diego Llorente\Diego-Llorente,es ESP,DF,Real Sociedad,es La Liga,25,1993,25.9,14,0.54,13,0,0,0,1,0,2,0.08,1,0,0,0,1,0
1430,Fernando Llorente\Fernando-Llorente,es ESP,FW,Napoli,it Serie A,34,1985,5.6,19,3.41,14,0,0,4,1,0,2,0.36,1,0,0,1,0,0
1431,Marcos Llorente\Marcos-Llorente,es ESP,MFFW,Atlético Madrid,es La Liga,24,1995,15.2,27,1.78,21,0,4,0,2,0,7,0.46,3,0,2,0,2,0
1432,Gautier Lloris\Gautier-Lloris,fr FRA,DF,Nice,fr Ligue 1,24,1995,3.0,2,0.67,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1433,Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,eng Premier League,32,1986,20.1,1,0.05,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0
1434,Giovani Lo Celso\Giovani-Lo-Celso,ar ARG,MFFW,Tottenham,eng Premier League,23,1996,16.6,60,3.62,44,9,2,1,3,1,6,0.36,5,0,0,1,0,0
1435,Stanislav Lobotka\Stanislav-Lobotka,sk SVK,MF,Napoli,it Serie A,24,1994,8.4,16,1.91,14,0,1,0,1,0,1,0.12,1,0,0,0,0,0
1436,Stanislav Lobotka\Stanislav-Lobotka,sk SVK,MF,Celta Vigo,es La Liga,24,1994,15.4,26,1.69,22,0,0,1,2,1,2,0.13,2,0,0,0,0,0
1437,Jürgen Locadia\Jurgen-Locadia,nl NED,FW,Hoffenheim,de Bundesliga,25,1993,5.9,11,1.87,4,0,2,3,1,1,2,0.34,0,0,1,1,0,0
1438,Jürgen Locadia\Jurgen-Locadia,nl NED,MFFW,Brighton,eng Premier League,25,1993,1.0,1,1.05,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1439,Manuel Locatelli\Manuel-Locatelli,it ITA,MF,Sassuolo,it Serie A,21,1998,28.7,93,3.24,76,7,3,2,3,2,8,0.28,8,0,0,0,0,0
1440,Renan Lodi\Renan-Lodi,br BRA,DF,Atlético Madrid,es La Liga,21,1998,26.6,31,1.16,28,0,0,1,2,0,2,0.08,2,0,0,0,0,0
1441,Ruben Loftus-Cheek\Ruben-Loftus-Cheek,eng ENG,MFFW,Chelsea,eng Premier League,23,1996,2.3,2,0.87,2,0,0,0,0,0,1,0.43,1,0,0,0,0,0
1442,Enzo Loiodice\Enzo-Loiodice,fr FRA,MF,Dijon,fr Ligue 1,18,2000,2.1,1,0.47,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1443,Kevin Long\Kevin-Long,ie IRL,DF,Burnley,eng Premier League,28,1990,6.3,2,0.32,0,1,0,1,0,0,1,0.16,0,1,0,0,0,0
1444,Shane Long\Shane-Long,ie IRL,FW,Southampton,eng Premier League,32,1987,15.5,31,2.00,25,0,1,4,1,0,3,0.19,1,0,0,2,0,0
1445,Matthew Longstaff\Matthew-Longstaff,eng ENG,MF,Newcastle Utd,eng Premier League,19,2000,6.4,6,0.94,6,0,0,0,0,0,1,0.16,1,0,0,0,0,0
1446,Sean Longstaff\Sean-Longstaff,eng ENG,MF,Newcastle Utd,eng Premier League,21,1997,15.3,32,2.09,19,7,1,2,2,1,3,0.20,1,0,0,1,0,1
1447,Ademola Lookman\Ademola-Lookman,eng ENG,MFFW,RB Leipzig,de Bundesliga,21,1997,3.4,13,3.79,10,0,1,2,0,0,0,0.00,0,0,0,0,0,0
1448,Anthony Lopes\Anthony-Lopes,pt POR,GK,Lyon,fr Ligue 1,28,1990,26.0,2,0.08,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1449,Rony Lopes\Rony-Lopes,pt POR,FW,Sevilla,es La Liga,23,1995,1.5,1,0.67,1,0,0,0,0,0,1,0.67,1,0,0,0,0,0
1450,Rony Lopes\Rony-Lopes,pt POR,FW,Monaco,fr Ligue 1,23,1995,0.9,2,2.25,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1451,Adrián López\Adrian-Lopez,es ESP,FWMF,Osasuna,es La Liga,31,1988,16.0,42,2.62,38,0,2,1,1,0,3,0.19,2,0,0,1,0,0
1452,David López\David-Lopez,es ESP,DFMF,Espanyol,es La Liga,29,1989,27.3,31,1.14,26,1,0,0,2,2,4,0.15,3,0,0,0,1,0
1453,Diego López\Diego-Lopez,es ESP,GK,Espanyol,es La Liga,37,1981,35.9,5,0.14,1,4,0,0,0,0,1,0.03,0,1,0,0,0,0
1454,Javi López\Javi-Lopez,es ESP,DF,Alavés,es La Liga,17,2002,1.0,1,1.00,0,0,0,0,0,1,0,0.00,0,0,0,0,0,0
1455,Javi López\Javi-Lopez,es ESP,DF,Espanyol,es La Liga,33,1986,15.4,20,1.30,17,2,0,0,1,0,0,0.00,0,0,0,0,0,0
1456,Lluis López\Lluis-Lopez,es ESP,DF,Espanyol,es La Liga,22,1997,3.3,4,1.20,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1457,Maxime Lopez\Maxime-Lopez,fr FRA,MFFW,Marseille,fr Ligue 1,21,1997,12.3,35,2.84,28,4,2,0,1,0,5,0.41,4,1,0,0,0,0
1458,Pau López\Pau-Lopez,es ESP,GK,Roma,it Serie A,24,1994,32.0,2,0.06,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1459,Roberto López\Roberto-Lopez,es ESP,MF,Real Sociedad,es La Liga,19,2000,0.6,3,5.29,3,0,0,0,0,0,2,3.53,2,0,0,0,0,0
1460,Unai López\Unai-Lopez,es ESP,MF,Athletic Club,es La Liga,23,1995,19.9,48,2.42,25,21,0,0,1,1,5,0.25,4,1,0,0,0,0
1461,Losada\Losada,es ESP,MFFW,Celta Vigo,es La Liga,17,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1462,Albert Lottin\Albert-Lottin,fr FRA,MF,Bordeaux,fr Ligue 1,17,2001,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1463,Imran Louza\Imran-Louza,fr FRA,MFFW,Nantes,fr Ligue 1,20,1999,22.3,62,2.78,38,15,4,1,1,3,4,0.18,4,0,0,0,0,0
1464,Matteo Lovato\Matteo-Lovato,it ITA,DF,Hellas Verona,it Serie A,19,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1465,Dejan Lovren\Dejan-Lovren,hr CRO,DF,Liverpool,eng Premier League,30,1989,8.6,5,0.58,5,0,0,0,0,0,2,0.23,2,0,0,0,0,0
1466,Eduard Löwen\Eduard-Lowen,de GER,MFFW,Augsburg,de Bundesliga,22,1997,7.5,16,2.15,6,8,0,0,2,0,2,0.27,1,1,0,0,0,0
1467,Eduard Löwen\Eduard-Lowen,de GER,MF,Hertha BSC,de Bundesliga,22,1997,3.5,1,0.29,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1468,Matthew Lowton\Matthew-Lowton,eng ENG,DF,Burnley,eng Premier League,30,1989,17.0,18,1.06,16,0,0,0,1,1,1,0.06,1,0,0,0,0,0
1469,Hirving Lozano\Hirving-Lozano,mx MEX,FW,Napoli,it Serie A,24,1995,11.4,47,4.13,33,1,7,1,4,1,3,0.26,2,0,0,0,1,0
1470,Pol Lozano\Pol-Lozano,es ESP,MFFW,Espanyol,es La Liga,19,1999,1.9,1,0.52,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1471,Jan Luca Rumpf\Jan-Luca-Rumpf,de GER,DF,Paderborn 07,de Bundesliga,20,1999,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1472,Lucas\Lucas,br BRA,MF,Hoffenheim,de Bundesliga,20,1999,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1473,Jean Lucas\Jean-Lucas,br BRA,MF,Lyon,fr Ligue 1,21,1998,2.2,6,2.70,5,0,1,0,0,0,0,0.00,0,0,0,0,0,0
1474,Fabio Lucioni\Fabio-Lucioni,it ITA,DF,Lecce,it Serie A,31,1987,34.8,10,0.29,8,1,0,1,0,0,1,0.03,0,0,0,1,0,0
1475,José Luis Gayà\Jose-Luis-Gaya,es ESP,DF,Valencia,es La Liga,24,1995,22.1,22,1.00,19,0,1,0,1,1,3,0.14,3,0,0,0,0,0
1476,José Luis Morales\Jose-Luis-Morales,es ESP,FWMF,Levante,es La Liga,32,1987,28.0,66,2.36,51,2,7,4,2,0,6,0.21,4,0,1,1,0,0
1477,José Luis Palomino\Jose-Luis-Palomino,ar ARG,DF,Atalanta,it Serie A,29,1990,27.6,16,0.58,15,0,0,1,0,0,2,0.07,2,0,0,0,0,0
1478,José Luis Rodríguez\Jose-Luis-Rodriguez,pa PAN,FW,Alavés,es La Liga,21,1998,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1479,David Luiz\David-Luiz,br BRA,DF,Arsenal,eng Premier League,32,1987,31.2,11,0.35,8,0,0,1,0,2,4,0.13,4,0,0,0,0,0
1480,Douglas Luiz\Douglas-Luiz,br BRA,MF,Aston Villa,eng Premier League,21,1998,29.0,44,1.52,34,1,3,0,3,3,3,0.10,2,0,0,0,0,1
1481,Jordan Lukaku\Jordan-Lukaku,be BEL,DF,Lazio,it Serie A,25,1994,4.4,15,3.41,12,1,1,0,0,1,2,0.45,2,0,0,0,0,0
1482,Romelu Lukaku\Romelu-Lukaku,be BEL,FW,Inter,it Serie A,26,1993,33.1,102,3.08,83,0,10,7,1,1,12,0.36,9,0,1,2,0,0
1483,Dodi Lukebakio\Dodi-Lukebakio,be BEL,FWMF,Hertha BSC,de Bundesliga,21,1997,22.6,66,2.92,44,5,11,3,3,0,11,0.49,3,2,4,2,0,0
1484,Saša Lukić\Sasa-Lukic,rs SRB,MF,Torino,it Serie A,22,1996,20.7,38,1.84,28,1,4,0,3,2,1,0.05,1,0,0,0,0,0
1485,Senad Lulić\Senad-Lulic,ba BIH,DF,Lazio,it Serie A,33,1986,17.5,44,2.52,33,2,3,4,0,2,4,0.23,4,0,0,0,0,0
1486,John Lundstram\John-Lundstram,eng ENG,MF,Sheffield Utd,eng Premier League,25,1994,27.3,45,1.65,36,1,0,5,2,1,6,0.22,5,0,0,1,0,0
1487,Sebastiano Luperto\Sebastiano-Luperto,it ITA,DF,Napoli,it Serie A,22,1996,5.9,5,0.85,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1488,Arnaud Lusamba\Arnaud-Lusamba,fr FRA,MFFW,Nice,fr Ligue 1,22,1997,10.9,28,2.57,20,5,0,0,3,0,5,0.46,5,0,0,0,0,0
1489,Andreas Luthe\Andreas-Luthe,de GER,GK,Augsburg,de Bundesliga,32,1987,10.0,1,0.10,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1490,Lyanco\Lyanco,br BRA,DF,Torino,it Serie A,22,1997,13.1,7,0.54,6,0,1,0,0,0,0,0.00,0,0,0,0,0,0
1491,Charalambos Lykogiannis\Charalambos-Lykogiannis,gr GRE,DF,Cagliari,it Serie A,25,1993,14.9,13,0.87,8,5,0,0,0,0,2,0.13,1,1,0,0,0,0
1492,Yann M'Vila\Yann-MVila,fr FRA,MFDF,Saint-Étienne,fr Ligue 1,29,1990,21.6,19,0.88,18,0,0,0,0,1,2,0.09,2,0,0,0,0,0
1493,Alexis Mac Allister\Alexis-Mac-Allister,ar ARG,MFFW,Brighton,eng Premier League,20,1998,3.9,11,2.81,4,3,2,2,0,0,0,0.00,0,0,0,0,0,0
1494,Darwin Machís\Darwin-Machis,ve VEN,FWMF,Granada,es La Liga,26,1993,23.7,84,3.55,47,18,7,5,5,2,10,0.42,6,0,0,3,0,1
1495,Yvann Macon\Yvann-Macon,fr FRA,DF,Saint-Étienne,fr Ligue 1,20,1998,1.1,1,0.95,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1496,James Maddison\James-Maddison,eng ENG,MF,Leicester City,eng Premier League,22,1996,29.2,169,5.80,76,53,16,7,16,1,13,0.45,7,4,1,0,0,1
1497,Lisandro Magallán\Lisandro-Magallan,ar ARG,DF,Alavés,es La Liga,25,1993,13.3,5,0.38,4,1,0,0,0,0,2,0.15,2,0,0,0,0,0
1498,Francesco Magnanelli\Francesco-Magnanelli,it ITA,MF,Sassuolo,it Serie A,34,1984,15.5,21,1.35,21,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1499,Giangiacomo Magnani\Giangiacomo-Magnani,it ITA,DFMF,Brescia,it Serie A,23,1995,1.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1500,Giangiacomo Magnani\Giangiacomo-Magnani,it ITA,DF,Sassuolo,it Serie A,23,1995,1.6,1,0.62,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1501,Hugo Magnetti\Hugo-Magnetti,fr FRA,MF,Brest,fr Ligue 1,21,1998,2.6,12,4.58,9,0,1,1,1,0,0,0.00,0,0,0,0,0,0
1502,Harry Maguire\Harry-Maguire,eng ENG,DF,Manchester Utd,eng Premier League,26,1993,38.0,31,0.82,28,1,0,1,0,1,0,0.00,0,0,0,0,0,0
1503,Abdallahi Mahmoud\Abdallahi-Mahmoud,mr MTN,MF,Alavés,es La Liga,19,2000,1.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1504,Riyad Mahrez\Riyad-Mahrez,dz ALG,FW,Manchester City,eng Premier League,28,1991,21.6,140,6.48,90,13,20,4,10,3,31,1.44,17,2,5,1,5,1
1505,Thiago Maia\Thiago-Maia,br BRA,MF,Lille,fr Ligue 1,22,1997,0.5,1,1.87,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1506,Arne Maier\Arne-Maier,de GER,MF,Hertha BSC,de Bundesliga,20,1999,5.9,19,3.20,13,4,1,1,0,0,0,0.00,0,0,0,0,0,0
1507,Habib Maïga\Habib-Maiga,ci CIV,MF,Metz,fr Ligue 1,23,1996,25.2,38,1.51,30,0,2,3,0,3,9,0.36,7,0,0,1,0,1
1508,Mike Maignan\Mike-Maignan,fr FRA,GK,Lille,fr Ligue 1,23,1995,28.0,3,0.11,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0
1509,Ainsley Maitland-Niles\Ainsley-Maitland-Niles,eng ENG,DF,Arsenal,eng Premier League,21,1997,15.4,21,1.36,17,1,1,0,1,1,3,0.19,2,0,0,0,0,1
1510,Josh Maja\Josh-Maja,ng NGA,FW,Bordeaux,fr Ligue 1,20,1998,8.2,22,2.69,14,0,3,1,3,1,3,0.37,2,0,0,1,0,0
1511,Abdul Majeed Waris\Abdul-Majeed-Waris,gh GHA,FW,Strasbourg,fr Ligue 1,27,1991,4.1,6,1.46,5,0,1,0,0,0,2,0.49,2,0,0,0,0,0
1512,Žan Majer\Zan-Majer,si SVN,MF,Lecce,it Serie A,27,1992,18.5,42,2.27,37,1,1,0,2,1,4,0.22,2,0,0,0,1,1
1513,Jean-Victor Makengo\Jean-Victor-Makengo,fr FRA,MFFW,Toulouse,fr Ligue 1,21,1998,11.0,22,2.00,19,0,2,0,1,0,0,0.00,0,0,0,0,0,0
1514,Nemanja Maksimović\Nemanja-Maksimovic,rs SRB,MF,Getafe,es La Liga,24,1995,32.2,37,1.15,29,2,0,3,3,0,3,0.09,3,0,0,0,0,0
1515,Nikola Maksimović\Nikola-Maksimovic,rs SRB,DF,Napoli,it Serie A,27,1991,20.0,13,0.65,12,0,0,0,0,1,1,0.05,1,0,0,0,0,0
1516,Kévin Malcuit\Kevin-Malcuit,ma MAR,DF,Napoli,it Serie A,28,1991,2.8,3,1.05,2,0,1,0,0,0,0,0.00,0,0,0,0,0,0
1517,Daniel Maldini\Daniel-Maldini,it ITA,FW,Milan,it Serie A,17,2001,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1518,Ruslan Malinovskyi\Ruslan-Malinovskyi,ua UKR,MFFW,Atalanta,it Serie A,26,1993,17.1,115,6.74,68,10,18,7,9,3,9,0.53,7,1,0,0,1,0
1519,Yunus Mallı\Yunus-Malli,tr TUR,FWMF,Union Berlin,de Bundesliga,27,1992,7.5,15,2.01,10,0,0,1,4,0,2,0.27,2,0,0,0,0,0
1520,Hugo Mallo\Hugo-Mallo,es ESP,DF,Celta Vigo,es La Liga,28,1991,21.8,28,1.28,22,2,2,0,2,0,2,0.09,1,0,1,0,0,0
1521,Streli Mamba\Streli-Mamba,de GER,FW,Paderborn 07,de Bundesliga,25,1994,16.9,26,1.54,15,0,4,1,4,2,3,0.18,2,0,0,1,0,0
1522,Hianga Mananga Mbock\Hianga-Mananga-Mbock,fr FRA,MF,Brest,fr Ligue 1,19,1999,1.6,1,0.64,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1523,Vincent Manceau\Vincent-Manceau,fr FRA,DF,Angers,fr Ligue 1,30,1989,22.0,30,1.36,26,3,1,0,0,0,1,0.05,1,0,0,0,0,0
1524,Gianluca Mancini\Gianluca-Mancini,it ITA,DFMF,Roma,it Serie A,23,1996,30.4,24,0.79,20,0,0,3,1,0,5,0.16,4,0,0,1,0,0
1525,Marco Mancosu\Marco-Mancosu,it ITA,MFFW,Lecce,it Serie A,30,1988,27.1,71,2.62,59,1,4,2,5,0,5,0.18,3,0,1,0,1,0
1526,Steve Mandanda\Steve-Mandanda,fr FRA,GK,Marseille,fr Ligue 1,34,1985,26.3,1,0.04,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1527,Reinildo Mandava\Reinildo-Mandava,mz MOZ,DF,Lille,fr Ligue 1,25,1994,12.3,14,1.14,12,0,1,0,0,1,0,0.00,0,0,0,0,0,0
1528,Aïssa Mandi\Aissa-Mandi,dz ALG,DF,Betis,es La Liga,27,1991,28.6,17,0.59,17,0,0,0,0,0,1,0.03,1,0,0,0,0,0
1529,Rolando Mandragora\Rolando-Mandragora,it ITA,MF,Udinese,it Serie A,22,1997,22.8,69,3.03,47,13,1,3,1,4,4,0.18,4,0,0,0,0,0
1530,Sadio Mané\Sadio-Mane,sn SEN,FW,Liverpool,eng Premier League,27,1992,30.5,109,3.57,85,0,6,3,13,2,16,0.52,9,0,0,1,5,1
1531,Eliaquim Mangala\Eliaquim-Mangala,fr FRA,DF,Valencia,es La Liga,28,1991,7.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1532,Thomas Mangani\Thomas-Mangani,fr FRA,MF,Angers,fr Ligue 1,32,1987,20.8,78,3.75,50,24,3,1,0,0,2,0.10,1,1,0,0,0,0
1533,Massimiliano Mangraviti\Massimiliano-Mangraviti,it ITA,DF,Brescia,it Serie A,21,1998,10.8,5,0.46,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0
1534,Kostas Manolas\Kostas-Manolas,gr GRE,DF,Napoli,it Serie A,28,1991,24.2,5,0.21,4,0,0,0,0,1,0,0.00,0,0,0,0,0,0
1535,Javier Manquillo\Javier-Manquillo,es ESP,DF,Newcastle Utd,eng Premier League,25,1994,17.8,14,0.79,12,1,0,0,1,0,3,0.17,1,1,0,0,1,0
1536,Giacomo Manzari\Giacomo-Manzari,it ITA,FWMF,Sassuolo,it Serie A,18,2000,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1537,Myziane Maolida\Myziane-Maolida,fr FRA,FWMF,Nice,fr Ligue 1,20,1999,7.5,28,3.73,20,0,3,2,2,1,2,0.27,2,0,0,0,0,0
1538,Faitout Maouassa\Faitout-Maouassa,fr FRA,DF,Rennes,fr Ligue 1,21,1998,20.0,27,1.35,18,0,5,0,4,0,2,0.10,1,0,1,0,0,0
1539,Fernando Marçal\Fernando-Marcal,br BRA,DF,Lyon,fr Ligue 1,30,1989,9.2,17,1.85,14,1,0,1,0,1,3,0.33,1,0,0,1,0,1
1540,Marcelo\Marcelo,br BRA,DF,Real Madrid,es La Liga,31,1988,14.4,50,3.47,45,0,2,1,2,0,7,0.49,5,0,0,0,2,0
1541,Marcelo\Marcelo,br BRA,DF,Lyon,fr Ligue 1,32,1987,16.7,8,0.48,7,1,0,0,0,0,0,0.00,0,0,0,0,0,0
1542,Solly March\Solly-March,eng ENG,DFFW,Brighton,eng Premier League,25,1994,12.7,32,2.52,24,3,3,0,2,0,2,0.16,2,0,0,0,0,0
1543,Gian Marco Ferrari\Gian-Marco-Ferrari,it ITA,DF,Sassuolo,it Serie A,27,1992,21.1,23,1.09,21,0,0,1,1,0,2,0.09,1,0,0,0,1,0
1544,Óscar de Marcos\Oscar-de-Marcos,es ESP,DFFW,Athletic Club,es La Liga,30,1989,6.0,11,1.83,7,4,0,0,0,0,1,0.17,1,0,0,0,0,0
1545,Dario Maresic\Dario-Maresic,at AUT,DF,Reims,fr Ligue 1,19,1999,1.0,2,2.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1546,Miguel Marí\Miguel-Mari,es ESP,MF,Eibar,es La Liga,22,1997,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1547,Pablo Marí\Pablo-Mari,es ESP,DF,Arsenal,eng Premier League,25,1993,1.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1548,José María Giménez\Jose-Maria-Gimenez,uy URU,DF,Atlético Madrid,es La Liga,24,1995,19.5,9,0.46,8,0,0,0,1,0,0,0.00,0,0,0,0,0,0
1549,Mariano\Mariano,do DOM,FW,Real Madrid,es La Liga,25,1993,0.5,2,4.00,1,0,1,0,0,0,1,2.00,0,0,1,0,0,0
1550,Adrian Mariappa\Adrian-Mariappa,jm JAM,DF,Watford,eng Premier League,32,1986,16.8,10,0.59,10,0,0,0,0,0,1,0.06,1,0,0,0,0,0
1551,Jordan Marié\Jordan-Marie,fr FRA,MF,Dijon,fr Ligue 1,27,1991,2.2,2,0.90,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1552,Federico Marigosu\Federico-Marigosu,it ITA,MF,Cagliari,it Serie A,18,2001,0.3,2,7.50,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0
1553,Adrián Marín\Adrian-Marin,es ESP,DF,Alavés,es La Liga,22,1997,9.5,11,1.16,8,2,0,1,0,0,0,0.00,0,0,0,0,0,0
1554,Guillermo Maripán\Guillermo-Maripan,cl CHI,DF,Alavés,es La Liga,25,1994,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1555,Guillermo Maripán\Guillermo-Maripan,cl CHI,DF,Monaco,fr Ligue 1,25,1994,19.5,9,0.46,7,0,0,2,0,0,1,0.05,1,0,0,0,0,0
1556,Marlon\Marlon,br BRA,DF,Sassuolo,it Serie A,23,1995,20.2,17,0.84,15,0,1,0,0,1,0,0.00,0,0,0,0,0,0
1557,Omar Marmoush\Omar-Marmoush,eg EGY,MFFW,Wolfsburg,de Bundesliga,20,1999,0.9,1,1.11,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1558,Gonzalo Maroni\Gonzalo-Maroni,ar ARG,MF,Sampdoria,it Serie A,20,1999,2.0,17,8.45,11,3,0,2,0,1,2,0.99,1,1,0,0,0,0
1559,Marquinhos\Marquinhos,br BRA,MFDF,Paris S-G,fr Ligue 1,25,1994,16.4,18,1.10,15,1,1,1,0,0,3,0.18,2,0,0,1,0,0
1560,Bruno Martella\Bruno-Martella,it ITA,DFMF,Brescia,it Serie A,26,1992,14.1,29,2.06,25,1,2,1,0,0,2,0.14,2,0,0,0,0,0
1561,Roger Martí\Roger-Marti,es ESP,FW,Levante,es La Liga,28,1991,25.2,41,1.63,31,0,0,0,8,2,4,0.16,1,0,0,0,3,0
1562,Anthony Martial\Anthony-Martial,fr FRA,FW,Manchester Utd,eng Premier League,23,1995,29.2,95,3.26,72,0,12,3,5,3,19,0.65,13,0,2,1,2,1
1563,Aarón Martín\Aaron-Martin,es ESP,DF,Mainz 05,de Bundesliga,22,1997,19.9,50,2.51,27,20,1,0,1,0,3,0.15,1,0,0,0,1,0
1564,Daniel Martín\Daniel-Martin,es ESP,GK,Betis,es La Liga,21,1998,5.9,2,0.34,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1565,David Martin\David-Martin,eng ENG,GK,West Ham,eng Premier League,33,1986,4.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1566,Jonas Martin\Jonas-Martin,fr FRA,MF,Rennes,fr Ligue 1,29,1990,1.3,1,0.80,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1567,Jonas Martin\Jonas-Martin,fr FRA,MF,Strasbourg,fr Ligue 1,29,1990,2.7,5,1.82,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0
1568,Josh Martin\Josh-Martin,eng ENG,FW,Norwich City,eng Premier League,17,2001,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1569,Martinelli\Martinelli,br BRA,FW,Arsenal,eng Premier League,18,2001,7.4,7,0.95,5,0,1,0,1,0,0,0.00,0,0,0,0,0,0
1570,Álex Martínez\Alex-Martinez,es ESP,DF,Granada,es La Liga,28,1990,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
